Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
Afghanistan,36263,1269,25198,9796,106,10,18
Albania,4880,144,2745,1991,117,6,63
Algeria,27973,1163,18837,7973,616,8,749
Andorra,907,52,803,52,10,0,0
Angola,950,41,242,667,18,1,0
Antigua and Barbuda,86,3,65,18,4,0,5
Argentina,167416,3059,72575,91782,4890,120,2057
Armenia,37390,711,26665,10014,73,6,187
Australia,15303,167,9311,5825,368,6,137
Austria,20558,713,18246,1599,86,1,37
Azerbaijan,30446,423,23242,6781,396,6,558
Bahamas,382,11,91,280,40,0,0
Bahrain,39482,141,36110,3231,351,1,421
Bangladesh,226225,2965,125683,97577,2772,37,1801
Barbados,110,7,94,9,0,0,0
Belarus,67251,538,60492,6221,119,4,67
Belgium,66428,9822,17452,39154,402,1,14
Belize,48,2,26,20,0,0,0
Benin,1770,35,1036,699,0,0,0
Bhutan,99,0,86,13,4,0,1
Bolivia,71181,2647,21478,47056,1752,64,309
Bosnia and Herzegovina,10498,294,4930,5274,731,14,375
Botswana,739,2,63,674,53,1,11
Brazil,2442375,87618,1846641,508116,23284,614,33728
Brunei,141,3,138,0,0,0,0
Bulgaria,10621,347,5585,4689,194,7,230
Burkina Faso,1100,53,926,121,14,0,6
Burma,350,6,292,52,0,0,2
Burundi,378,1,301,76,17,0,22
Cabo Verde,2328,22,1550,756,21,0,103
Cambodia,226,0,147,79,1,0,4
Cameroon,17110,391,14539,2180,402,6,0
Canada,116458,8944,0,107514,682,11,0
Central African Republic,4599,59,1546,2994,0,0,0
Chad,922,75,810,37,7,0,0
Chile,347923,9187,319954,18782,2133,75,1859
China,86783,4656,78869,3258,213,4,7
Colombia,257101,8777,131161,117163,16306,508,11494
Comoros,354,7,328,19,0,0,0
Congo (Brazzaville),3200,54,829,2317,162,3,73
Congo (Kinshasa),8844,208,5700,2936,13,4,190
Costa Rica,15841,115,3824,11902,612,11,88
Cote d'Ivoire,15655,96,10361,5198,59,0,183
Croatia,4881,139,3936,806,24,3,70
Cuba,2532,87,2351,94,37,0,2
Cyprus,1060,19,852,189,3,0,0
Czechia,15516,373,11428,3715,192,2,0
Denmark,13761,613,12605,543,109,0,77
Djibouti,5059,58,4977,24,9,0,11
Dominica,18,0,18,0,0,0,0
Dominican Republic,64156,1083,30204,32869,1248,20,1601
Ecuador,81161,5532,34896,40733,467,17,0
Egypt,92482,4652,34838,52992,420,46,1007
El Salvador,15035,408,7778,6849,405,8,130
Equatorial Guinea,3071,51,842,2178,0,0,0
Eritrea,265,0,191,74,2,0,2
Estonia,2034,69,1923,42,0,0,1
Eswatini,2316,34,1025,1257,109,2,39
Ethiopia,14547,228,6386,7933,579,5,170
Fiji,27,0,18,9,0,0,0
